Lactantia PurFiltre is a micro-filtered milk.,Lactantia PurFiltre est un lait microfiltré. ,Source: lactantia.ca
"Lactantia PurFiltre has a creamier taste that stays fresh longer than pasteurized milk, naturally without preservatives.","Le lait Lactantia PurFiltre propose un goût plus crémeux et reste frais plus longtemps que le lait pasteurisé, naturellement, sans aucun agent de conservation.",Source: lactantia.ca
Lactantia PurFiltre Organic milk combines delicious and natural organic goodness with the quality of the fine filtered process of pasteurized milk.,"Le lait Lactantia PurFiltre propose un goût plus crémeux et reste frais plus longtemps que le lait pasteurisé, naturellement, sans aucun agent de conservation.",Source: lactantia.ca
Lactantia PurFiltre milk tastes purer and creamier and stays fresh longer than regular milk.,"Le lait Lactantia PurFiltre a un goût plus pur, plus crémeux, et conserve sa fraîcheur plus longtemps que du lait ordinaire.",Source: lactantia.ca
Micro-filtration removes 99.9% of bacteria.,"Le procédé de microfiltration élimine 99,9 % des bactéries.",Source: lactantia.ca
"Lactantia Omega3 is made with flaxseed oil, a source of omega-3 poly-unsaturated acids that are essential for growth, development and the maintenance of overall health.","Lactantia Omega3 est faite d'huile de lin, une source d'acides polyinsaturés oméga-3 essentiels pour la croissance, le développement et le maintien d'une bonne santé générale.",Source: lactantia.ca
A healthy diet low in saturated and trans fats may reduce the risk of heart disease. Lactantia Omega3 is low in saturated and trans fats.,"Une alimentation équilibrée, faible en gras, peut réduire le risque de maladie du cœur. Lactantia Omega3 est faible en gras saturés et trans.",Source: lactantia.ca
"DHA is an Omega-3 fatty acid that supports normal physical development of the brain, eyes and nerves, primarily in children under two years of age.","L'ADH est un acide gras oméga-3 qui contribue au développement du cerveau, des yeux et du système nerveux, principalement chez les enfants de moins de deux ans.",Source: lactantia.ca
Lactantia SkimPlus offers the same creamy taste of 2% milk with 85% less fat.,"Le lait Lactantia ÉcréméPlus offre le même bon goût crémeux que celui du lait 2 %, mais comporte 85 % moins de gras.",Source: lactantia.ca
Lactantia Calcium is an easy way to get the calcium you need every day because it contains 35% more calcium than regular milk.,"Lactantia Calcium est un moyen facile d'obtenir votre apport en calcium quotidien, car il renferme 35 % plus de calcium que le lait ordinaire.",Source: lactantia.ca
"A healthy diet with adequate calcium, Vitamin D and regular physical activity helps to achieve strong bones and may reduce the risk of osteoporosis.","Une alimentation saine comportant une quantité adéquate de calcium, de vitamine D, jumelée à de l'activité physique, contribue à la solidité des os et peut réduire le risque d'ostéoporose.",Source: parmalat.ca
"Milk is an excellent source of calcium, which helps build strong bones and teeth.","Le lait est une excellente source de calcium, souvent associé à la solidité des os et des dents.",Source: parmalat.ca
"Milk, cheese, yogourt and other dairy products are highly recognized as excellent sources of calcium. ","Le lait, le fromage, le yogourt et autres produits laitiers sont reconnus comme d'excellentes sources de calcium.",Source: parmalat.ca
"Canada's Food Guide recommends that all Canadians should consume from two to four servings of Milk and Alternatives every day, according to their age group.","Le Guide alimentaire canadien recommande de consommer deux à quatre portions de lait et de substituts de lait par jour, selon leur groupe d'âge.","Source: Dairy Farmers of Canada, getenough.ca"
"Naturally refreshing, milk provides 16 essential nutrients that contribute to the quality of our everyday diet.","Naturellement rafraîchissant, le lait fournit 16 éléments nutritifs essentiels qui contribuent à la qualité de notre alimentation quotidienne.","Source: Dairy Farmers of Canada, getenough.ca"
"Whether natural, chocolate or other flavour, milk plays an important role in a balanced diet.","Nature, au chocolat ou autrement aromatisé, le lait occupe une place importante dans une alimentation équilibrée.","Source: Dairy Farmers of Canada, getenough.ca"
Milk products are an important part of a healthy diet.,Les produits laitiers font partie intégrante d'une saine alimentation.,"Source: Dairy Farmers of Canada, getenough.ca"
2 out of 3 Canadians are not getting their recommended daily servings of milk products.,2 Canadiens sur 3 ne consomment pas leur quantité quotidienne recommandée de produits laitiers.,"Source: Dairy Farmers of Canada, getenough.ca"
"Milk is an important contributor to a balanced diet, considering it is one of the best available sources of calcium and vitamin D, two essential nutrients for bone health.","Le lait joue un rôle important dans une alimentation équilibrée, étant donné qu’il s’agit d’une source accessible de calcium et de vitamine D, deux éléments nutritifs essentiels à la santé des os. ","Source: Dairy Farmers of Canada, getenough.ca"
"One out of four women, and one out of eight men will suffer from osteoporosis after 50.","Une femme sur quatre, et un homme sur huit souffriront d'ostéoporose après avoir atteint l'âge de 50 ans.","Source: Dairy Farmers of Canada, getenough.ca"
"Milk is a versatile source of calcium: simply drink it, use it in smoothies, soups, sauces, rice pudding, pancakes, desserts, etc.","Le lait est une source polyvalente de calcium : on peut le boire, l'utiliser dans des smoothies, des soupes, des sauces, les déserts, etc.","Source: Dairy Farmers of Canada, getenough.ca"
Adults need 1000 to 1200 mg of calcium per day; a minimum of 2 servings of Milk and Alternatives is recommended daily.,Les adultes ont besoin de 1000 à 1200 mg de calcium par jour; il est recommandé de consommer au moins 2 portions de lait et substituts par jour.,"Source: Dairy Farmers of Canada, getenough.ca"
"Milk is rich in calcium, but also contains many essential nutrients including protein, vitamin A, and vitamin D.","Le lait est riche en calcium, mais contient aussi de nombreux éléments nutritifs essentiels, dont des protéines et les vitamines A et D.","Source: Dairy Farmers of Canada, getenough.ca"
"Chocolate and flavoured milks are as nutritious and provide the same amount of protein, vitamins and minerals as white milk.","Le lait aromatisé est aussi nourrissant et fournit la même quantité de protéines, de vitamines et de minéraux que le lait blanc.","Source: Dairy Farmers of Canada, getenough.ca"
"The quantity of Milk and Alternatives that you should consume is between 2 and 4 servings per day, depending on your age.","La quantité de lait et substituts qu'il est recommandé de consommer est de 2 à 4 portions par jour, selon votre groupe d'âge.","Source: Dairy Farmers of Canada, getenough.ca"
"According to Canada's Food Guide, one serving of milk equals 1 cup (250 mL) of milk.","Selon le Guide alimentaire canadien, une portion de lait équivaut à 1 tasse (250 ml).","Source: Dairy Farmers of Canada, getenough.ca"
"Before the age of two, a child should drink at least 600 mL (20 oz) of milk daily in order to meet their needs for essential nutrients.","Avant l'âge de deux ans, un enfant devrait boire au moins 600 ml de lait par jour pour combler ses besoins nutritifs essentiels.","Source: Dairy Farmers of Canada, getenough.ca"
"The habit of drinking milk first became popular 10,000 years ago, when the first animals were domesticated, initially in Afghanistan and Iran.","L'habitude de boire du lait a commencé il y a environ 10 000 ans, avec les premiers animaux domestiqués, d’abord en Afghanistan et en Iran.",Source: www.finedininglovers.com
Cows produce 90% of the world’s milk needs.,Les vaches produisent 90 % des besoins mondiaux en lait.,
"A cow provides an average of 90 glasses of milk a day, or over 200,000 glasses over the course of its lifetime.","Une vache fournit en moyenne 90 verres de lait par jour, soit plus de 200 000 verres de lait au cours de sa vie.",Source: www.finedininglovers.com
"Milk is the most important ingredient in hand-made ice cream, making up around 60% of the finished product.","Le lait est l'ingrédient le plus important de la crème glacée artisanale, car il représente 60 % du produit fini.",Source: www.finedininglovers.com
"A nice glass of warm milk, maybe with honey, is a nutritious kind of lullaby: a true natural calmative.","Un bon verre de lait chaud, avec un peu de miel, devient une berceuse douce et nourrissante. Il s'agit d'un véritable calmant naturel.",Source: www.finedininglovers.com
Milk is unique because no other beverage contains as many natural nutrients.,"Le lait est unique, car aucune autre boisson ne contient autant d'éléments nutritifs naturels.",Source: www.2020site.org
Young children need the nutrients milk provides because their developing skeletal systems replace bone mass about every two years until they reach maturity.,"Les enfants ont besoin des éléments nutritifs du lait parce que leur squelette en croissance renouvelle sa masse osseuse tous les deux ans environ, jusqu'à ce qu'ils atteignent la maturité.",Source: www.2020site.org
Milk was delivered in glass bottles until plastic containers were invented in 1964.,Le lait était livré dans des bouteilles de verre jusqu'à ce que les contenants de plastique soient inventés en 1964.,Source: www.2020site.org
Milk would not be frothy without its protein content.,Le lait ne pourrait mousser sans les protéines qu'il contient.,Source: www.2020site.org
"Until the development of milking machines in 1894, farmers only milked about six cows each hour. Today, the average dairy farmer milks more than 100 cows per hour.","Jusqu'à l'avènement des trayeuses mécaniques en 1894, les fermiers ne trayaient qu'environ six vaches par jour. Aujourd'hui, le producteur laitier moyen trait plus de 100 vaches à l'heure.",Source: www.2020site.org
"Milk is made up of 87% water, making it is an excellent choice to replace fluids.","Le lait est fait à 87 % d'eau, ce qui en fait un excellent choix pour remplacer les liquides perdus.",Source: www.recharchewithmilk.ca
Milk can help reduce the effects of spicy foods because of the casein protein found in it. Casein sticks to the spicy oil on your tongue to help wash it away. ,Le lait peut aider à réduire l'effet des aliments épicés à cause de la protéine caséine qu'il contient. La caséine colle aux huiles qui piquent votre langue pour aider à les éliminer.,Source: www.dairygoodness.ca
"Breakfast should also contain protein such as milk, cheese or yogourt as part of a balanced breakfast that includes 3 of the 4 food groups. ","Le déjeuner devrait inclure des protéines comme du lait, du fromage ou du yogourt parmi les 3 des 4 groupes alimentaires que doit comporter un déjeuner équilibré.",Source: www.dairygoodness.ca